id,tweet_text,Final Labeling,storyid,supporting,refuting,fact
1,"See how Demos add fake voters in WI and MI. ????????????????See the big ""jump"".  However, because it happed after 24:00 Tuesday, these ""new"" voters are illegal, Anti-constitutional and unreceivable. Trump has won before 24:00 and he declared, it's good. Trump2020 GodWins",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
2,"For Biden, it is considered that at the moment, almost no votes are cast in Trump's account, and Trump's chart goes from ascending to horizontal, which must be examined. This chart mode is very similar to a widespread vote count fraud.",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
3,Look at democrats mysterious jump to win after the states were very red! New state elections or complete supervised re-count needed!  The only thing we did on Election Day was tell them how many votes they needed on Election Night.,refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
4,I still have not heard an explanation of this. Obviously vote dumps for Biden once they knew how much they needed. Dont let this be ignored!  RETWEET and SHARE!!,refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
5,Michigan manufactures Biden Ballots outrageously overnight!,refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
6,DemocRATS had their own cities burn just to reflect poorly on President @realDonaldTrump  THEY CAN STOOP TO ANY LEVEL! postelection WisconsinForTrump MichiganForTrump WednesdayMotivation wednesdaythought  ElectionNight FourMoreYears MAGA Trump2020 PennsylvaniaForTrump,irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
7,"So they find 128,000 consecutive votes for Biden, Biden now leads MI. But Republican John James is winning the Senate race?! Did those ballots given to Biden have 0 Senate votes?",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
8,"So somehow in the middle of the night, Democrats just found the exact magic number of ballots for Biden to make up the delta between them.  Ummmm - sorry Dems.  This is not your best cheating.    TrumpWon",refuting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
9,This Michigan conspiracy needs to stop. The updates for each candidate aren't entered simultaneously. A similar spike in Trump votes happened earlier in the evening as well. It's not hard to believe. @realDonaldTrump @JoeBiden michigan,supporting,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
10,The only thing we did on Election Day was tell them how many votes they needed on Election Night.,irrelevant,story_2+648+28,"The vote spike for Biden in these charts was due to late-reported county results, not evidence of fraud, as Trump also received votes in those batches.","Early morning election results with sudden spikes in votes for Joe Biden, as shown on the charts, are evidence of voter fraud from Michigan and Wisconsin.",Some graphs online misrepresent normal vote-counting spikes in Wisconsin and Michigan as evidence of fraud.
