Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Image Path,Caption,falsified_label,intern_vl_78_response,Imgur URL,Content Keywords,Title,Content URL,News Content,Image URL,are_images_similar,intern_vl_78_web_entities_title_response,intern_vl_78_web_entities_summary_response,intern_vl_78_summary_response,intern_vl_78_title_response,intern_vl_78_web_entities_title_keywords_response,intern_vl_38_web_entities,intern_vl_38_web_entities_summary_response,gpt_web_entities_response,gpt_web_entities_summary_response,gpt_web_entities_title_response,Title Vision,Content Summary Vision,Content URL Vision,Image URL Vision,News Content Vision,intern_vl_38_web_entities_title_vision_response,intern_vl_38_web_entities_summary_vision_response,llama_90_web_entities_summary_vision_response,llama_90_web_entities_title_vision_response,gpt_web_entities_title_vision_response,internvl_78_web_entities_summary_vision_response,internvl_78_web_entities_title_vision_response,internvl_78_web_entities_title_keywords_vision_response,internvl_78_vision_response,gpt_web_entities_summary_vision_response
0,0,0,0,0,0,0,0,0,0,0,0,0,./sample_300_merged_balanced/bbc_images_0276_608.jpg,Mare and foal left out during high tide at Loughor Estuary Wales,True,out of context,https://i.imgur.com/tToIk0u.jpeg,"['zoos', 'weirdest', 'escapes', 'wolf', 'animal', 'rusty', 'times', 'area', 'zoo', 'enclosure', 'escaped', 'penguin', 'zookeepers']",10 weirdest zoo animal escapes,https://www.cnn.com/2013/06/25/living/buzzfeed-cnn-escaped-zoo-animals/index.html,"The primates in crime escaped so many times that the zoo received a warning from federal officials, according to ABC News.
3) Virginia: The wolf that escaped from the Los Angeles Zoo and may or may not have been recaptured.
The timber wolf escaped from her enclosure three times in the 1970s before she finally got out for good.
This picture released by Tokyo Sea Life Park on March 5, 2012, shows the escaped penguin swimming in a river in Tokyo.
Last year, a Humboldt penguin escaped from Tokyo Sea Life Park and spent a whopping three months waddling around the city.","https://media.cnn.com/api/v1/images/stellar/prod/120517121438-japan-penguin-custom-1.jpg?q=w_256,c_fill",Yes,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,Japanese zoo calls off hunt for escaped penguin,,https://www.bbc.co.uk/newsround/17686519,,"A Japanese zoo has called off the hunt for an escaped penguin, which broke out at the beginning of March.
Keepers from Tokyo Sea Life Park have spent the last month searching the river where it was last seen.
They only realised the Humboldt penguin was missing after someone took a photo of it swimming away (and appearing to be waving at the camera!).
A zoo official said: ""We believe the penguin is doing OK somewhere in a river near Tokyo Bay.""",out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context
1,1,1,1,1,1,1,1,1,1,1,1,1,./sample_300_merged_balanced/guardian_images_0818_495.jpg,Sunlight hits the morning fog as it lifts from the Shenandoah National Park in Virginia on June 21 2015,True,out of context,https://i.imgur.com/s9e5acm.jpeg,,,,,,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,,,,,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context
2,2,2,2,2,2,2,2,2,2,2,2,2,./sample_300_merged_balanced/usa_today_images_0394_123.jpg,The Syrian government has lost control of most of the Quneitra area to rebels led by the alNusra Front,True,not out of context,https://i.imgur.com/FhJ1igQ.jpeg,"['seek', 'crisis', 'suffering', 'staff', 'gazas', 'medical', 'urgent', 'system', 'treatment', 'shortages', 'travel', 'patients', 'healthcare', 'video']",Gaza's healthcare system in crisis – video,https://www.theguardian.com/global-development/video/2012/jul/11/gaza-healthcare-video,"Medical staff and the parents of patients discuss the effect of five years of Israeli blockade and Hamas rule on Gaza's healthcare system.
Power cuts and shortages of drugs and equipment mean patients are suffering.
Those in urgent need of medical care often seek treatment in Israel – but permission to travel is not always granted",,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,,,,,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,not out of context,out of context
3,3,3,3,3,3,3,3,3,3,3,3,3,./sample_300_merged_balanced/usa_today_images_0427_790.jpg,President John F Kennedy and his wife Jacqueline ride in a motorcade moments before the president was shot Nov 22 1963 in Dallas,False,not out of context,https://i.imgur.com/Y4FpoFT.jpeg,"['man', 'jfk', 'theories', 'agency', 'umbrella', 'shot', 'shooter', 'johnson', 'president', 'oswald', 'cia', 'kennedy', 'theory', 'conspiracy']",Who shot JFK? Here are 6 conspiracy theories,https://www.usatoday.com/story/news/nation-now/2013/11/21/john-kennedy-conspiracy-theories-assasination/3661891/,"President Trump on Saturday said he will allow the release of more than 3,000 classified files on the JFK assassination.
Other theories pin the assassination on a rogue cell of the CIA or an agency contract killer gone rogue.
READ:Ex-Secret Service agent opens up about JFK's killing4) Lyndon JohnsonAuthor Craig Zirbel argues that Vice President Johnson was motivated by political gain to organize Kennedy's assassination.
6) The debunked umbrella man theoryBill O'Reilly reported for WFSB that a man fired a dart from the tip of his umbrella at JFK.
Theorists believed the umbrella man shot Kennedy in the neck.",,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,A look at the assassination of President John F. Kennedy,,https://www.usatoday.com/picture-gallery/news/2013/11/20/a-look-at-the-assassination-of-president-john-f-kennedy/3654021/,,"NEWSA look at the assassination of President John F. KennedyPresident John F. Kennedy and his wife, Jacqueline, ride in a motorcade moments before the president was shot Nov. 22, 1963, in Dallas.
(AP Photo/FILE) ORG XMIT: NY500 APFILE - This Nov. 22, 1963 file photo shows President John F. Kennedy and his wife Jacqueline Kennedy upon their arrival at Dallas Airport, in Dallas, shortly before President Kennedy was assassinated.
PBS says its fall schedule will include a variety of specials marking President John F. Kennedy's death 50 years ago.
Moments later, President John F. Kennedy was hit by an assassin's bullets.
(AP Photo/FILE) ORG XMIT: NY501 AP** FOR IMMEDIATE RELEASE --FILE ** First Lady Jacqueline Kennedy cradles her husband President John F. Kennedy seconds after he was fatally shot.",not out of context,not out of context,not out of context,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
4,4,4,4,4,4,4,4,4,4,4,4,4,./sample_300_merged_balanced/guardian_images_0634_764.jpg,Pakistani troops maintain a curfew on the edge of Waziristan as the assault by against the Taliban begins,True,not out of context,https://i.imgur.com/lQDiOaF.jpeg,"['ward', 'taliban', 'women', 'afghan', 'afghanistan', 'womens', 'truth', 'massacre', 'chilling', 'opinion', 'maternity', 'attack', 'rights', 'peace', 'shows', 'twitter', 'talks']",Massacre at maternity ward shows a chilling truth for women in Afghanistan (opinion),https://www.cnn.com/2020/05/14/opinions/afghanistan-maternity-ward-massacre-hossain/index.html,"The government has resumed fighting the Taliban after a horrifying attack by gunmen on a maternity ward run by Doctors Without Borders in Kabul.
She said that, thanks to US intervention, (Afghan) women were “no longer imprisoned in their homes.”Yet, today here we are, almost two decades later, with Afghan women and their babies being slaughtered.
If they’re not safe in maternity wards, how safe are they in their homes, or anywhere in the country?
What Pompeo is conveniently overlooking is that yes, while without violence being scaled down there can be no peace, without women’s rights there can never be democracy – in Afghanistan or anywhere else in the world.
“Women’s rights” was something that the United States once stipulated was non-negotiable for Afghanistan, but today we are expecting the very terrorists we once wanted to “save” Afghanistan from to deliver her peace.",,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,,,,,,out of context,out of context,out of context,out of context,out of context,out of context,out of context,out of context,not out of context,out of context
5,5,5,5,5,5,5,5,5,5,5,5,5,./sample_300_merged_balanced/guardian_images_0238_272.jpg,Compact club the Green Door Store in Brighton,False,not out of context,https://i.imgur.com/BYg5KzS.jpeg,"['wine', 'brighton', 'small', 'great', 'venue', 'free', 'green', 'soft', 'place', 'guide', 'station', 'theres', 'pint', 'door', 'store', 'gig']","The gig venue guide: Green Door Store, Brighton",https://www.theguardian.com/music/musicblog/2014/oct/07/the-gig-venue-guide-green-door-store-brighton,"Bar: Standard selection of beers, wine and soft drinks, at pub prices.
A pint of San Miguel is £4, Tuborg/Gaymers cans are £3 and a small wine is £3.80.
The place is so small that any square foot of floor space you choose will offer equally good sightlines and sound.
The bar opens at 5pm for after-work drinks, staying free to all regardless of whether there’s a gig in the music room.
Address: Trafalgar Arches, Lower Goods Yard, Brighton Station, Brighton BN1 4FQTelephone: 07944 693214Website: thegreendoorstore.co.ukPublic transport: Underneath Brighton station.",https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2014/10/7/1412675959685/69c116c8-0fee-4a09-881b-24754d83083f-2060x1236.jpeg?width=700&quality=85&auto=format&fit=max&s=e2f8d5375fe9e4141671164c39003606,Yes,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,"The gig venue guide: Green Door Store, Brighton",,https://www.theguardian.com/music/musicblog/2014/oct/07/the-gig-venue-guide-green-door-store-brighton,,"Bar: Standard selection of beers, wine and soft drinks, at pub prices.
A pint of San Miguel is £4, Tuborg/Gaymers cans are £3 and a small wine is £3.80.
The place is so small that any square foot of floor space you choose will offer equally good sightlines and sound.
The bar opens at 5pm for after-work drinks, staying free to all regardless of whether there’s a gig in the music room.
Address: Trafalgar Arches, Lower Goods Yard, Brighton Station, Brighton BN1 4FQTelephone: 07944 693214Website: thegreendoorstore.co.ukPublic transport: Underneath Brighton station.",not out of context,not out of context,not out of context,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
6,6,6,6,6,6,6,6,6,6,6,6,6,./sample_300_merged_balanced/bbc_images_0361_783.jpg,Richard Dreyfuss stars as an ageing surgeon with a terminal brain tumour in Cas and Dylan,False,not out of context,https://i.imgur.com/cZ638sQ.jpeg,,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,out of context,out of context,out of context,out of context,not out of context,,,,,,not out of context,not out of context,not out of context,not out of context.,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
7,7,7,7,7,7,7,7,7,7,7,7,7,./sample_300_merged_balanced/guardian_images_0350_356.jpg,Elisabeth Goergl of Austria skis to a tenth place finish in the women s World Cup SuperG in Beaver Creek this week,False,not out of context,https://i.imgur.com/ytmIa9h.jpeg,,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,,,,,,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context,not out of context
8,8,8,8,8,8,8,8,8,8,8,8,8,./sample_300_merged_balanced/guardian_images_0525_188.jpg,Norman Lamb was appointed to the Lib Dem general election cabinet as health spokesman,True,not out of context,https://i.imgur.com/0ZCjXjU.jpeg,"['hunts', 'doctors', 'condemned', 'junior', 'battle', 'industrial', 'action', 'medical', 'jeremy', 'hours', 'dangerous', 'bma', 'patients', 'think', 'taking', 'exminister']",Jeremy Hunt's 'dangerous' battle with doctors condemned by ex-minister,https://www.theguardian.com/society/2016/jan/10/jeremy-hunt-nhs-junior-doctors-strike,"Junior doctors in England will provide only emergency cover for 24 hours from 8am on Tuesday, significantly reducing operational resources.
A spokeperson said: “No doctor takes industrial action lightly and we regret the disruption it will case.
However, junior doctors now feel that they have no option.
I am sure the vast majority of doctors are not in that place.”View image in fullscreen Norman Lamb: ‘I just think it is a dangerous step that they are taking, taking on the doctors’.
“Industrial action will lead to patients suffering, and no doctor wants to see that happen,” she said.",,,out of context,not out of context,not out of context,not out of context,out of context,out of context,not out of context,out of context,out of context,out of context,Out-of-hours NHS Wales hospital care 'inadequate' - ombudsman,,https://www.bbc.com/news/uk-wales-35744576,,"There needs to be a systemic review of out-of-hours hospital care in Wales, the public services ombudsman has said.
A snapshot of 12 cases investigated by the watchdog over five years shows ""inadequate standards of care"" given to patients, including at weekends.
Nick Bennett said although not typical, a pattern suggested they were not ""one-off"" incidents.
Mark Drakeford said only one example had happened while he was health minister but he took it seriously.
Mr Bennett found ""significant clinical failings"" in the cases and said poor quality out-of-hours care often related to inadequate consultant supervision.",out of context,out of context,out of context,"the image depicts a man in a suit, with a tie and a pin on his lapel. the caption mentions norman lamb being appointed to the lib",out of context,out of context,out of context,out of context,not out of context,out of context
9,9,9,9,9,9,9,9,9,9,9,9,9,./sample_300_merged_balanced/guardian_images_0593_101.jpg,Keith Vaz says Paul Gambaccini s 12 months of trauma had convinced him that suspects should not be named initially,False,out of context,https://i.imgur.com/J7JtGjc.jpeg,"['workers', 'claims', 'events', 'ban', 'sex', 'inquiry', 'house', 'drugs', 'vaz', 'men', 'faces', 'committee', 'vazs', 'scandal', 'keith', 'standards', 'parliamentary', 'report']",Keith Vaz faces parliamentary ban over drugs for sex workers scandal,https://www.theguardian.com/politics/2019/oct/28/keith-vaz-faces-parliamentary-ban-over-drugs-for-sex-workers-scandal,"The Labour MP Keith Vaz is facing a six-month ban from parliament for offering to buy drugs for sex workers and failing to cooperate with an inquiry.
The MP for Leicester East will face an automatic recall petition after the standards committee found he “caused significant damage to the reputation and integrity of the House of Commons”.
The inquiry examined claims published in the Sunday Mirror in 2016 that he offered to buy cocaine for male sex workers while posing as an industrial washing machine salesman.
The inquiry examined claims that Vaz visited a flat he owned and met two men who recorded the events that followed.
Vaz denied that the purpose of his encounter with the two men was to engage in paid-for sex, the inquiry report said.",https://i.guim.co.uk/img/media/88010d95143fca74dbe28dab0241503c22cb0302/8_345_4278_2567/master/4278.jpg?width=465&dpr=1&s=none&crop=none,No,not out of context,out of context,out of context,out of context,out of context,out of context,out of context,not out of context,not out of context,not out of context,Missing child abuse files: Home Office chief fails to give MPs list of titles,,https://www.theguardian.com/society/2014/jul/11/missing-child-abuse-files-home-office-chief-mps,,"The top Home Office mandarin has told MPs that he could not immediately provide them with the titles of the 114 ""lost or destroyed"" child sex abuse-related files because personal names would have to be redacted first.
He told Vaz that many of the file titles included the names of individuals that would have to be redacted before they could be provided to the committee.
He said this was necessary so as not to prejudice ongoing criminal investigations into historical sex abuse cases.
He added that the redacted lists of relevant files would be released alongside the publication of the fresh Wanless and Whittam review into last year's original investigation into the missing files.
The committee will be calling Sir Peter Wanless, Richard Whittam and Lady Butler-Sloss before it,"" said Vaz.",not out of context,out of context,not out of context,not out of context,not out of context,out of context,out of context,out of context,out of context,not out of context
